982144	nm0000416	Terry Gilliam:nm0000416:I:nm0000416:tt1054606:tt1054606	nm0000416:982144.44:movie	The Imaginarium of Doctor Parnassus	2009	123	Adventure,Comedy,Fantasy
989790	nm0000092	John Cleese:nm0000092:I:nm0000092:tt0095159:tt0095159	nm0187769,nm0000092:989790.0:movie	A Fish Called Wanda	1988	108	Comedy,Crimeloop
1003025	nm0000134	Robert De Niro:nm0000134:I:nm0000134:tt0106489:tt0106489	nm0000134:1003025.44:movie	A Bronx Tale	1993	121	Crime,Drama,Romance
1008438	nm0721817	Kevin Reynolds:nm0721817:I:nm0721817:tt0245844:tt0245844	nm0721817:1008438.6:movie	The Count of Monte Cristo	2002	131	Action,Adventure,Drama
1019403	nm0190780	Gabor Csupo:nm0190780:I:nm0190780:tt0398808:tt0398808	nm0190780:1019403.8:movie	Bridge to Terabithia	2007	96	Drama,Family,Fantasy
1027064	nm1242054	James Ponsoldt:nm1242054:I:nm1242054:tt1714206:tt1714206	nm1242054:1027064.7:movie	The Spectacular Now	2013	95	Comedy,Drama,Romance
1030225	nm0001873	Steven Zaillian:nm0001873:I:nm0001873:tt2401256:tt2401256	nm1016428,nm0001873:1030225.5:tvMiniSeries	The Night Of	2016	525	Crime,Drama,Mysteryloop
1043916	nm0915304	Scott Waugh:nm0915304:I:nm0915304:tt2369135:tt2369135	nm0915304:1043916.8:movie	Need for Speed	2014	132	Action,Thriller
1049528	nm0262595	Bruce A. Evans:nm0262595:I:nm0262595:tt0780571:tt0780571	nm0262595:1049528.4:movie	Mr. Brooks	2007	120	Crime,Drama,Thriller
1052040	nm0001053	Ethan Coen:nm0001053:I:nm0001053:tt2042568:tt2042568	nm0001054,nm0001053:1052040.0:movie	Inside Llewyn Davis	2013	104	Comedy,Drama,Musicloop
1067087	nm0000231	Oliver Stone:nm0000231:I:nm0000231:tt0094291:tt0094291	nm0000231:1067087.4:movie	Wall Street	1987	126	Crime,Drama
1072489	nm1092087	Sam Hargrave:nm1092087:I:nm1092087:tt8936646:tt8936646	nm1092087:1072489.1:movie	Extraction	2020	116	Action,Thriller
1088137	nm3211470	Robert Eggers:nm3211470:I:nm3211470:tt7984734:tt7984734	nm3211470:1088137.5:movie	The Lighthouse	2019	109	Drama,Fantasy,Horror
1091430	nm0171253	Warren Coleman:nm0171253:I:nm0171253:tt0366548:tt0366548	nm0606688,nm0004306,nm0171253:1091430.4:movie	Happy Feet	2006	108	Adventure,Animation,Comedyloop
1099839	nm0001338	Brian Helgeland:nm0001338:I:nm0001338:tt3569230:tt3569230	nm0001338:1099839.4:movie	Legend	2015	132	Biography,Crime,Drama
1147495	nm0300265	Mike Gabriel:nm0300265:I:nm0300265:tt0114148:tt0114148	nm0325196,nm0300265:1147495.6:movie	Pocahontas	1995	81	Adventure,Animation,Dramaloop
1158638	nm0321922	Dan Glass:nm0321922:I:nm0321922:tt2431438:tt2431438	nm0574625,nm0905154,nm0878756,nm0905152,nm0321922:1158638.5:tvSeries	Sense8	2015	60	Drama,Mystery,Sci-Filoop
1203120	nm1191481	Leigh Whannell:nm1191481:I:nm1191481:tt6499752:tt6499752	nm1191481:1203120.0:movie	Upgrade	2018	100	Action,Sci-Fi,Thriller
1217034	nm0001880	Edward Zwick:nm0001880:I:nm0001880:tt0758752:tt0758752	nm0001880:1217034.9:movie	Love & Other Drugs	2010	112	Comedy,Drama,Romance
1296977	nm0397174	Byron Howard:nm0397174:I:nm0397174:tt0397892:tt0397892	nm0930261,nm0397174:1296977.6:movie	Bolt	2008	96	Adventure,Animation,Comedyloop
1302984	nm0027572	Wes Anderson:nm0027572:I:nm0027572:tt0838221:tt0838221	nm0027572:1302984.0:movie	The Darjeeling Limited	2007	91	Adventure,Comedy,Drama
1326600	nm0764601	Miguel Sapochnik:nm0764601:I:nm0764601:tt4283094:tt4283094	nm0764601:1326600.0:tvEpisode	The Winds of Winter	2016	68	Action,Adventure,Drama
1344353	nm0448768	Jennifer Kent:nm0448768:I:nm0448768:tt2321549:tt2321549	nm0448768:1344353.2:movie	The Babadook	2014	94	Drama,Horror,Mystery
1349799	nm0353673	Paul Haggis:nm0353673:I:nm0353673:tt1458175:tt1458175	nm0353673:1349799.2:movie	The Next Three Days	2010	133	Action,Crime,Drama
1352520	nm0005237	Anthony Minghella:nm0005237:I:nm0005237:tt0134119:tt0134119	nm0005237:1352520.2:movie	The Talented Mr. Ripley	1999	139	Crime,Drama,Thriller
1357267	nm0030735	Nimród Antal:nm0030735:I:nm0030735:tt1424381:tt1424381	nm0030735:1357267.2:movie	Predators	2010	107	Action,Adventure,Sci-Fi
1392911	nm2305431	Oren Peli:nm2305431:I:nm2305431:tt1179904:tt1179904	nm2305431:1392911.1:movie	Paranormal Activity	2007	86	Horror,Mystery
1394395	nm0761498	Chris Sanders:nm0761498:I:nm0761498:tt0481499:tt0481499	nm0210320,nm0761498:1394395.1:movie	The Croods	2013	98	Adventure,Animation,Comedyloop
1441808	nm1167933	Damián Szifron:nm1167933:I:nm1167933:tt3011894:tt3011894	nm1167933:1441808.1:movie	Wild Tales	2014	122	Comedy,Drama,Thriller
1456420	nm5358492	Kemp Powers:nm5358492:I:nm5358492:tt2948372:tt2948372	nm0230032,nm5358492:1456420.6:movie	Soul	2020	100	Adventure,Animation,Comedyloop
1499782	nm2745490	Nina Lopez-Corrado:nm2745490:I:nm2745490:tt2364582:tt2364582	nm0113596,nm0813313,nm0250267,nm0744794,nm0528337,nm1871590,nm0940668,nm0877427,nm0317382,nm0679662,nm0592813,nm0197700,nm0163988,nm0277830,nm0881038,nm4464857,nm0007096,nm0112253,nm0855613,nm1061992,nm0155739,nm0779641,nm0934663,nm0514546,nm0994368,nm0956910,nm0393661,nm1864154,nm0923736,nm0156838,nm0464366,nm0485637,nm0833191,nm0101908,nm0001617,nm0004610,nm3181354,nm0724757,nm1000238,nm1779916,nm1160495,nm0206259,nm0444709,nm0000408,nm2745490:1499782.5:tvSeries	Agents of S.H.I.E.L.D.	2013	45	Action,Adventure,Dramaloop
1554386	nm0000976	Martin Brest:nm0000976:I:nm0000976:tt0119643:tt0119643	nm0000976:1554386.4:movie	Meet Joe Black	1998	178	Drama,Fantasy,Romance
1647968	nm4289392	Lindsey Morgan:nm4289392:I:nm4289392:tt2661044:tt2661044	nm0067090,nm0053434,nm1740015,nm0675894,nm1340738,nm0021772,nm0620576,nm0156838,nm0624423,nm2351144,nm0193738,nm2016145,nm1074029,nm1903768,nm0924693,nm0534850,nm0899485,nm0089885,nm0003802,nm9004217,nm0220049,nm0884218,nm0611983,nm0850102,nm0759950,nm1243057,nm2366079,nm0434320,nm1003202,nm1779916,nm0795288,nm4289392:1647968.8:tvSeries	The 100	2014	43	Drama,Mystery,Sci-Filoop
